Date 	Plot	Replicate	Treatment	SoilMoisture
1/30/2006	3	1	2	20.4
1/30/2006	4	1	2	16.7
1/30/2006	1	1	2	19.2
1/30/2006	5	1	2	17.1
1/30/2006	6	1	2	17.3
1/30/2006	2	2	2	20.4
1/30/2006	3	2	2	18.6
1/30/2006	4	2	2	14.8
1/30/2006	1	2	2	17.6
1/30/2006	5	2	2	17.7
1/30/2006	6	2	2	19
2/24/2006	2	1	2	19.2
2/24/2006	3	1	2	20.8
2/24/2006	4	1	2	NA
2/24/2006	1	1	2	21.1
2/24/2006	5	1	2	19.5
2/24/2006	6	1	2	13.9
2/24/2006	2	2	2	20.1
2/24/2006	3	2	2	18.4
2/24/2006	4	2	2	NA
2/24/2006	1	2	2	18.3
2/24/2006	5	2	2	14.5
2/24/2006	6	2	2	NA
3/28/2006	2	1	2	27.5
3/28/2006	3	1	2	30.3
3/28/2006	4	1	2	27.5
3/28/2006	1	1	2	30.6
3/28/2006	5	1	2	28.3
3/28/2006	6	1	2	26.7
3/28/2006	2	2	2	27.2
3/28/2006	3	2	2	29.7
3/28/2006	4	2	2	21.5
3/28/2006	1	2	2	30.2
3/28/2006	5	2	2	29.2
3/28/2006	6	2	2	28
4/27/2006	2	1	2	17.9
4/27/2006	3	1	2	19.1
4/27/2006	4	1	2	NA
4/27/2006	1	1	2	NA
4/27/2006	5	1	2	NA
4/27/2006	6	1	2	NA
4/27/2006	2	2	2	16.4
4/27/2006	3	2	2	13.9
4/27/2006	4	2	2	NA
4/27/2006	1	2	2	NA
4/27/2006	5	2	2	NA
4/27/2006	6	2	2	NA
5/16/2006	2	1	2	27
5/16/2006	3	1	2	28.3
5/16/2006	4	1	2	23.2
5/16/2006	1	1	2	26.2
5/16/2006	5	1	2	24.9
5/16/2006	6	1	2	25.5
5/16/2006	2	2	2	26.9
5/16/2006	3	2	2	27.2
5/16/2006	4	2	2	23.3
5/16/2006	1	2	2	24.6
5/16/2006	5	2	2	21.6
5/16/2006	6	2	2	21.6
5/30/2006	2	1	2	16.3
5/30/2006	3	1	2	NA
5/30/2006	4	1	2	NA
5/30/2006	1	1	2	NA
5/30/2006	5	1	2	NA
5/30/2006	6	1	2	NA
5/30/2006	2	2	2	14.1
5/30/2006	3	2	2	NA
5/30/2006	4	2	2	NA
5/30/2006	1	2	2	NA
5/30/2006	5	2	2	NA
5/30/2006	6	2	2	NA
